date,prcp,tavg,awnd,tmin,tmax,ASLP,ASTP,CLDD,DP1X,DYHF,DYTS,YEAR,MONTH
2017-12-01,41.9,1.7,5.7,-1.35,4.75,1018.7,1017.7,0,0,0.0,0.0,2017,12
2018-02-01,150.6,4.36,4.7,0.29,8.44,1024.3,1022.9,0,2,7.0,0.0,2018,2
2018-03-01,129.3,4.09,6.9,0.53,7.65,1013.5,1012.6,0,2,2.0,0.0,2018,3
2018-04-01,83.9,8.35,6.1,4.21,12.49,1015.9,1015.1,0,1,3.0,0.0,2018,4
2018-05-01,103.6,17.42,4.2,13.01,21.84,1017.5,1016.7,51,0,9.0,0.0,2018,5
2018-06-01,98.5,20.81,4.4,16.66,24.96,1014.1,1013.3,157,1,1.0,0.0,2018,6
2018-07-01,120.6,24.65,4.7,20.74,28.56,1018.6,1017.6,352,1,1.0,0.0,2018,7
2018-08-01,119.0,25.25,4.6,21.69,28.81,1016.5,1015.6,386,1,1.0,0.0,2018,8
2018-09-01,152.2,21.47,4.3,18.12,24.82,1021.6,1020.8,188,2,2.0,0.0,2018,9
2018-10-01,84.6,14.38,5.4,10.8,17.95,1017.4,1016.6,50,1,1.0,0.0,2018,10
2018-11-01,198.2,6.84,5.8,3.39,10.3,1017.9,1017.0,0,4,3.0,0.0,2018,11
2018-12-01,171.7,4.37,5.2,1.16,7.58,1019.5,1018.5,0,3,5.0,0.0,2018,12
2019-02-01,90.5,1.88,5.6,-1.86,5.63,1021.0,1020.2,0,0,3.0,0.0,2019,2
2019-03-01,100.7,4.49,5.9,0.8,8.18,1019.9,1019.2,0,0,0.0,0.0,2019,3
2019-04-01,114.0,11.47,5.7,7.53,15.41,1016.3,1015.4,0,1,5.0,0.0,2019,4
2019-05-01,171.7,15.8,4.7,11.95,19.66,1015.0,1014.2,34,3,6.0,0.0,2019,5
2019-06-01,135.6,21.48,4.6,17.21,25.74,1013.4,1012.6,178,1,5.0,0.0,2019,6
2019-07-01,137.1,25.99,4.2,21.58,30.4,1014.8,1014.0,427,2,0.0,6.0,2019,7
2019-08-01,80.3,24.07,4.0,20.15,28.0,1015.1,1014.3,320,1,0.0,10.0,2019,8
2019-09-01,28.1,20.75,4.4,16.61,24.89,1019.4,1018.6,142,0,0.0,2.0,2019,9
2019-10-01,119.0,15.27,5.6,11.39,19.16,1018.0,1017.3,23,1,1.0,0.0,2019,10
2019-11-01,38.9,6.27,5.5,2.23,10.31,1019.2,1017.3,0,0,0.0,0.0,2019,11
2019-12-01,203.9,3.39,5.5,0.03,6.75,1018.4,1017.4,0,4,2.0,0.0,2019,12
2017-01-01,118.0,3.68,5.6,0.76,6.61,1016.6,1015.6,0,1,2.0,0.0,2017,1
2018-01-01,46.6,-0.95,6.0,-4.95,3.06,1022.4,1021.5,0,0,5.0,0.0,2018,1
2019-01-01,101.8,0.28,6.2,-3.56,4.12,1018.4,1017.4,0,2,2.0,0.0,2019,1
2020-01-01,49.2,3.73,5.6,-0.01,7.46,1020.5,1019.4,0,0,2.0,0.0,2020,1
2020-02-01,86.7,4.11,5.3,0.33,7.88,1016.8,1015.9,0,1,2.0,0.0,2020,2
2020-03-01,95.6,8.03,5.6,3.86,12.21,1020.2,1019.3,0,2,3.0,0.0,2020,3
2020-04-01,83.6,9.21,6.4,5.15,13.27,1011.8,1010.8,0,1,0.0,3.0,2020,4
2020-05-01,34.0,14.55,5.2,9.63,19.48,1017.4,1016.4,13,0,7.0,0.0,2020,5
2020-06-01,80.4,21.92,4.5,17.15,26.69,1015.6,1014.7,201,0,5.0,0.0,2020,6
2020-07-01,131.1,26.27,4.4,22.33,30.21,1014.0,1013.2,443,2,0.0,11.0,2020,7
2020-08-01,71.6,24.59,4.4,20.81,28.37,1014.4,1013.5,349,0,1.0,0.0,2020,8
2020-09-01,72.6,20.21,4.4,16.05,24.36,1018.0,1018.3,136,1,0.0,1.0,2020,9
2020-10-01,126.5,14.55,4.4,10.83,18.26,1019.5,1018.6,6,3,5.0,0.0,2020,10
2020-11-01,118.0,10.5,5.2,5.79,15.2,1021.2,1020.4,0,1,2.0,0.0,2020,11
2020-12-01,89.8,3.61,5.9,0.18,7.04,1017.2,1016.0,0,1,1.0,0.0,2020,12
2021-01-01,57.9,1.57,5.7,-1.93,5.06,1016.1,1015.1,0,0,1.0,0.0,2021,1
2021-02-01,121.3,0.69,5.6,-2.13,3.51,1018.6,1017.6,0,1,5.0,0.0,2021,2
2021-03-01,78.3,6.66,5.9,1.82,11.51,1020.8,1020.0,0,0,6.0,0.0,2021,3
2021-04-01,68.0,11.08,5.3,6.3,15.86,1012.6,1011.8,0,0,2.0,0.0,2021,4
2021-05-01,114.8,16.25,5.0,11.16,21.34,1018.4,1017.5,48,1,0.0,3.0,2021,5
2021-06-01,39.9,21.9,4.7,17.24,26.56,1016.3,1015.4,196,0,3.0,0.0,2021,6
2021-07-01,149.8,24.32,4.2,20.33,28.32,1014.9,1014.1,336,1,0.0,14.0,2021,7
2021-08-01,187.4,24.95,4.1,21.37,28.53,1017.2,1016.3,369,2,0.0,6.0,2021,8
2021-09-01,115.6,21.52,4.9,17.5,25.54,1016.0,1015.1,178,1,0.0,4.0,2021,9
2021-10-01,110.9,17.24,4.9,13.42,21.06,1014.9,1014.1,33,1,0.0,1.0,2021,10
2021-11-01,17.0,7.95,5.0,3.55,12.34,1019.0,1018.1,0,0,0.0,1.0,2021,11
2021-12-01,43.4,6.32,4.8,3.05,9.59,1017.5,1016.5,0,0,1.0,0.0,2021,12
2022-01-01,111.1,-0.89,6.0,-5.15,3.38,1018.5,1017.3,0,1,3.0,0.0,2022,1
2022-02-01,78.2,2.06,5.8,-2.68,6.8,1022.7,1021.9,0,0,4.0,0.0,2022,2
2022-03-01,66.6,6.32,5.9,2.05,10.59,1016.2,1015.4,0,0,6.0,0.0,2022,3
2022-04-01,78.6,10.52,6.2,6.31,14.74,1016.2,1015.3,0,0,2.0,0.0,2022,4
2022-05-01,110.3,16.8,4.7,12.3,21.31,1017.6,1016.8,52,1,7.0,0.0,2022,5
2022-06-01,82.5,21.27,4.8,16.92,25.61,1014.8,1014.0,162,1,2.0,0.0,2022,6
2022-07-01,28.0,26.27,4.7,22.02,30.52,1014.2,1013.4,443,0,0.0,6.0,2022,7
2022-08-01,21.7,25.94,4.5,21.68,30.52,1015.9,1015.1,425,0,0.0,3.0,2022,8
2022-09-01,47.1,21.29,4.8,17.05,25.53,1016.3,1015.4,181,0,0.0,3.0,2022,9
2022-10-01,142.5,13.95,4.7,9.86,18.03,0.0,0.0,4,2,2.0,3.0,2022,10
2022-11-01,61.7,10.15,5.4,5.97,14.32,0.0,0.0,7,0,1.0,0.0,2022,11
2022-12-01,80.6,3.07,5.9,-0.58,6.73,0.0,0.0,0,0,2.0,0.0,2022,12
